"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/sliceitt/posts/pfbid02k6qKHgTjuakAnGVvb8cdLAHu2HWgAJTeVdgb2kjYLu2eD7xEkBFSHzSRGkxur61Zl","Our secret to a Dope weekend😉
Make some noise in the comments if y’all sliced this weekend😍
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","18","20","1"
,"https://www.facebook.com/sliceitt/posts/pfbid07Mi69H6vySGQb5bcXuCzyempVCev8RVC9ibn3Bx1ny2krfkF1wmSQBAgeGH4wsxyl","slicers always have all the balls in their court 😎 
Spam the comments with 🤑 if you wanna collect all the monies
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","17","6","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0yan9e1GETthNTrV51V1WH7xn85Gvv8rCMYpXUXYMsBJ3K9wXjUURQCjS8NCXiK6jl","Excuse us, can we please be your credit score? Cause we wanna fly high🤫
Spam the comments with🚀 if you wanna fly with us.
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #creditscore #💜","20","8","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02mS9wkQTH2rzAtQYZoMkFApsouTz2Q1R9piYShxx3Ze31RGCUPPppWyXkjFW86Npul","Fast & furious in real life😉
Fire up the comments if you're the FASTEST SLICER😍
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #fast #slicetheslow #💜","20","20","0"
,"https://www.facebook.com/sliceitt/posts/pfbid021Y2j3QZd2EavGM2ZsMEeKCb1S3S91Kocoe2mV9WRyq3ai9kzCd5GCrYVKsoaD2val","Can we say we're on a 'roll'?😜
Drop a📌if you wanna pop the balloons & get em' monies.
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","22","11","1"
,"https://www.facebook.com/sliceitt/posts/pfbid02eetWqN1k8ga2EDatvcfCjGaWBTytW5D7z6sptkQ4vfH77QH3iBE8WTdzuBiLtzU9l","Are you busy pranking on this April Fool's day or nailin' your luck by participating in slice lucky day? 😎

So folks, kickstart your new month in swag 😍

Rules? Quite simple:

1. Follow @sliceit_
2. Share your invite code in the comments
3. Only users who have made the repayment on or before April 3rd will be eligible for this contest
4. Comments till Sunday, 3rd April, 2 PM will qualify
5. Winners will be announced on Monday, April 4th, post which cashback will be credited to the respective accounts.
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #fast #slicetheslow #💜","34","23","2"
,"https://www.facebook.com/sliceitt/posts/pfbid0J7dGftGGujv1s3BDsVCDZZreTPciM3gFHodjHo5o4kM1hz3aQp8ECrcdLF11HdE6l","The only lover who gets you through all your moods 😉 Spam the comments with 🥵 if you have a partner like us
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #fast #slicetheslow #💜 #surreal","23","9","0"
,"https://www.facebook.com/sliceitt/posts/pfbid031NCb7wjk3EgihsLgNwPDAG9xNgBiYviUqXTBFB5cpb6gENp5vZCAXZ3pjyXTLPBKl","Wait no more! Get used to the fast life with slice super card😎

Do you think we're fast or faaaaaaastttt?🏃
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #fast #slicetheslow #💜","15","11","0"
,"https://www.facebook.com/sliceitt/posts/pfbid032kMrfU5DcxyrhHBDpZXJVL1dR5Vsiem9XvbK1qHPzoUbzh5u4XDdT6gGv8KRBU9ql","Wait no more! Get used to the fast life with slice super card😎

Do you think we're fast or faaaaaaastttt?🏃
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #fast #slicetheslow #💜","14","9","1"
,"https://www.facebook.com/sliceitt/posts/pfbid02Nh1JrP1ZFsRyAUyXBuS1et1zfRNnwhC5N5EL7fGEbvuVpvNJvQQuBdMxBywMyyKHl","slicers, all we ask you is to spill the 'tea' not 'OTP'🤫                

Drop a🍎in the comments to throw on the scammers.","19","7","0"
